	HvsL	HvsL	HvsL	HvsL	HvsL
ABCB1	ENST00000265724.3	0.310938256	0.090762564	5	5
ABCB10	P1P2	0.725337874	0.326939543	5	5
ABCB11	P1P2	0.987062541	0.017862517	5	5
ABCB4	P1P2	0.046737138	-0.293129339	5	5
ABCB5	P1P2	0.88134947	-0.003584404	4	4
ABCB6	P1P2	0.737849366	-0.05752964	5	5
ABCB7	P1P2	0.545205883	-0.02750486	5	5
ABCB8	P1P2	0.957888052	0.062687929	5	5
ABCB9	P1	0.664536608	0.053921531	5	5
ABCC1	P1P2	0.877409239	-0.007265387	5	5
ABCC10	P1P2	0.252702404	-0.37408422	5	5
ABCC11	P2	0.080835426	-0.372078214	5	5
ABCC12	ENST00000311303.3	0.164543544	-0.145893603	5	5
ABCC2	P1P2	0.925466277	-0.196859313	5	5
ABCC3	P1P2	0.568654613	0.060432377	5	5
ABCC4	P1P2	0.159551109	0.209921661	5	5
ABCC5	P1P2	0.610520798	0.069413676	5	5
ABCC6	ENST00000205557.7	0.452686654	-0.186628986	4	4
ABCC8	P1P2	0.436123773	0.067557405	5	5
ABCC9	P1P2	0.976449579	-0.039797619	5	5
ABCD1	P1P2	0.133042306	-0.203121013	5	5
ABCD2	P1P2	0.412500126	-0.157494798	5	5
ABCD3	P1P2	0.411078852	-0.190962943	5	5
ABCD4	P1P2	0.288847108	0.231733101	5	5
ABCE1	P1P2	0.318543406	0.635214911	5	5
ABCF1	P1	0.401211611	-0.116647158	5	5
ABCF2	P1P2	0.255472402	-0.282069297	5	5
ABCF3	P1P2	0.011006475	-0.414424414	5	5
ABCG1	P1P2	0.938026273	0.010500814	5	5
ABCG2	P1P2	0.649623027	-0.215120848	4	4
ABCG4	P1P2	0.150118041	0.269460245	4	4
ABCG5	P1P2	0.46112594	0.154292442	4	4
ABCG8	P1P2	0.094553831	0.34868037	5	5
ABHD1	P1P2	0.695613381	0.060906034	5	5
ABHD10	P1P2	0.329146201	-0.108484613	5	5
ABHD11	P1P2	0.452964191	0.102594778	5	5
ABHD12	P1P2	0.354908722	0.086008969	5	5
ABHD12B	P1P2	0.877409239	-0.058321732	5	5
ABHD13	P1P2	0.574874653	-0.07234705	5	5
ABHD14A	P1P2	0.58569351	-0.090732898	5	5
ABHD14B	P2	0.170948418	-0.231609484	5	5
ABHD15	P1P2	0.495578565	0.119018485	5	5
ABHD16A	P1P2	0.5585463	-0.207545058	5	5
ABHD16B	P1P2	0.26072287	0.239878305	5	5
ABHD17A	P1P2	0.086328458	-0.301443102	5	5
ABHD17B	P1P2	0.434655383	-0.022597423	5	5
ABHD17C	P1P2	0.078573901	0.393272124	4	4
ABHD2	P1P2	0.407303029	0.088205802	5	5
ABHD3	P1P2	0.244518238	-0.278786683	5	5
ABHD4	P1P2	0.232268672	0.175903379	5	5
ABHD5	P1P2	0.207586973	-0.251845454	5	5
ABHD6	P1P2	0.338714051	0.144912327	5	5
ABHD8	P1P2	0.67483485	-0.125434118	5	5
ABI1	P1P2	0.152755322	-0.141118076	5	5
ABI2	P1P2	0.134119107	0.261010646	5	5
ABI3	P1P2	0.550745128	-0.110848097	5	5
ABI3BP	P1P2	0.591999951	-0.215174492	5	5
ABL1	ENST00000372348.2	0.477352232	-0.045944898	5	5
ABL2	P1	0.073800207	0.32549525	4	4
ABLIM1	ENST00000277895.5	0.720353518	0.095309394	5	5
ABLIM2	P1P2	0.773243122	-0.104422531	5	5
ABLIM3	P1P2	0.240496686	0.151434823	5	5
ABO	P2	0.166828151	-0.258802589	5	5
ABR	P1P2	0.01310299	-0.320583065	5	5
ABRA	P1P2	0.321781714	0.153608219	5	5
ABRACL	P1P2	0.057472805	-0.199819605	5	5
ABT1	P1P2	0.025703768	0.240410186	5	5
ABTB1	P1P2	0.993033459	-0.001380368	5	5
ABTB2	P1P2	0.892510341	-0.037988107	5	5
ACAA1	P1P2	0.365384594	-0.135451081	5	5
ACAA2	P1P2	0.905673691	0.167947077	5	5
ACACA	P1P2	0.004937445	0.687546393	5	5
ACACB	P2	0.536949208	0.111875693	5	5
ACAD10	P1P2	0.784724619	-0.0342366	5	5
ACAD11	P1P2	0.029634323	-0.368884194	5	5
ACAD8	P1P2	0.349742612	-0.177061734	5	5
ACAD9	P1P2	0.00877598	-0.326025309	5	5
ACADL	P1P2	0.647115173	0.088573207	5	5
ACADM	P1P2	0.997677794	0.030133965	5	5
ACADS	P1P2	0.645323736	-0.294845861	5	5
ACADSB	P1P2	0.295705996	0.130092591	5	5
ACADVL	P1P2	0.661519616	-0.069287014	5	5
ACAN	P1P2	0.09906607	0.451167542	5	5
ACAP1	P1P2	0.719109274	-0.160411222	5	5
ACAP2	P1P2	0.761811035	-0.075016967	5	5
ACAP3	P1P2	0.724090684	-0.033273972	5	5
ACAT1	P1P2	0.897772335	-0.070815112	5	5
ACAT2	P1P2	0.041079578	-0.385634357	5	5
ACBD3	P1P2	0.111754235	-0.162591363	5	5
ACBD4	P2	0.800666661	0.113894875	4	4
ACBD5	P1P2	0.78344653	-0.119894259	5	5
ACBD6	P1P2	0.339554392	-0.059060596	5	5
ACBD7	P1P2	0.191847688	-0.083888293	5	5
ACCS	P1P2	0.781530493	-0.148248684	5	5
ACCSL	ENST00000378832.1	0.535989454	0.067586083	4	4
ACD	P1P2	0.302673082	0.087030046	5	5
ACE	P1	0.758011724	0.043048734	5	5
ACE2	P1P2	0.91820298	-0.141557983	5	5
ACER1	P1P2	0.633433779	-0.186347715	5	5
ACER2	P1P2	0.242836891	0.143170632	5	5
ACER3	P1P2	0.376948918	-0.098404335	5	5
ACHE	P1	0.305411751	-0.095636227	5	5
ACIN1	P2	0.018012017	0.336190665	5	5
ACKR2	P1P2	0.916883096	-0.026172186	5	5
ACKR3	P1	0.257563702	0.342500939	5	5
ACKR4	P1P2	0.385540879	0.778051955	5	5
ACLY	P1P2	0.071612509	0.39823272	5	5
ACMSD	P1P2	0.553525097	-0.136799525	5	5
ACN9	P1P2	0.026712721	-0.263776804	5	5
ACO1	P1P2	0.541895663	0.105191637	5	5
ACO2	P1P2	0.983082311	0.068286103	5	5
ACOT1	P1P2	0.35188933	0.124196274	5	5
ACOT11	P1	0.051523158	-0.241415299	5	5
ACOT12	P1P2	0.578849541	0.031212667	5	5
ACOT13	P1P2	0.103219729	-0.232879567	5	5
ACOT2	P1P2	0.838237957	-0.032288192	5	5
ACOT4	P1P2	0.400279349	-0.103768208	5	5
ACOT6	P1P2	0.962526688	0.034508126	5	5
ACOT7	P1P2	0.415351397	-0.115714745	5	5
ACOT8	P1P2	0.980429053	-0.034456729	5	5
ACOT9	P1P2	0.301504381	0.127880256	5	5
ACOX1	P1P2	0.731584698	-0.088303934	5	5
ACOX2	P2	0.224877169	0.245678108	5	5
ACOX3	P2	0.123244876	0.313355309	5	5
ACOXL	P1P2	0.446482247	0.084531852	5	5
ACP1	P1P2	0.815565388	0.218562567	5	5
ACP2	P1P2	0.395175221	0.12652856	5	5
ACP5	P1	0.017971609	-0.399379722	5	5
ACP6	P1P2	0.734088445	0.055787461	5	5
ACPL2	P1P2	0.082111819	0.189015577	4	4
ACPP	P1P2	0.826559743	0.230802231	5	5
ACPT	ENST00000270593.1	0.964515072	-6.27E-05	5	5
ACR	P1P2	0.043874854	-0.464958034	5	5
ACRBP	P1P2	0.415351397	0.116937412	5	5
ACRC	P1P2	0.69868888	0.06702453	5	5
ACRV1	P1P2	0.692542882	0.015064224	5	5
ACSBG1	P1P2	0.983745657	-0.02988305	5	5
ACSBG2	P1P2	0.512562335	0.145582357	5	5
ACSF2	P1P2	0.780892109	-0.124749372	5	5
ACSF3	P1P2	0.205495419	-0.120684656	5	5
ACSL1	P1P2	0.345474169	0.103652265	5	5
ACSL3	P1P2	0.868238701	-0.006392586	5	5
ACSL4	P1P2	0.711039956	0.140620772	5	5
ACSL5	P1	0.425905209	-0.115138491	5	5
ACSL6	P2	0.601807093	0.132303649	5	5
ACSM1	P1P2	0.485118285	0.157928653	5	5
ACSM2A	P1P2	0.906991513	-0.063376066	5	5
ACSM2B	P1P2	0.5585463	-0.091799923	5	5
ACSM3	P1P2	0.288091681	0.011137055	5	5
ACSM4	ENST00000399422.4	0.45647636	0.110216698	5	5
ACSM5	P1P2	0.743502506	0.030803495	5	5
ACSS1	P1P2	0.008564257	-0.393991024	5	5
ACSS2	P1P2	0.980429053	-0.001616977	5	5
ACSS3	P1P2	0.54852611	0.036879206	5	5
ACTA1	P2	0.060712638	-0.355665142	5	5
ACTA2	P1	0.256516572	0.160429	5	5
ACTB	P1P2	0.119645423	0.073985011	5	5
ACTBL2	P1P2	0.187914234	-0.191455459	5	5
ACTC1	P1P2	0.208789058	0.34160173	5	5
ACTG1	P1P2	0.706090201	-0.125185731	5	5
ACTG2	P1	0.048985585	0.301335503	5	5
ACTL10	P1P2	0.228069954	-0.205011513	5	5
ACTL6A	P1P2	0.000607812	0.73592992	5	5
ACTL6B	P1P2	0.269999514	-0.233291679	5	5
ACTL7A	P1P2	0.272898865	-0.162482021	5	5
ACTL7B	P1P2	0.526581787	-0.122496306	5	5
ACTL8	P1P2	0.361871383	-0.154255131	5	5
ACTL9	P1P2	0.055535145	-0.286364342	5	5
ACTN1	P1P2	0.463546415	-0.123075444	5	5
ACTN2	P1P2	0.452463701	-0.17752286	5	5
ACTN3	P1P2	0.288091681	0.077098203	5	5
ACTN4	P1P2	0.8905383	-0.039443901	5	5
ACTR10	P1P2	0.00084294	0.594718901	5	5
ACTR1A	P1P2	0.241497678	0.127816491	5	5
ACTR1B	P1P2	0.692542882	0.16997673	5	5
ACTR2	P1P2	0.87872069	0.196343998	5	5
ACTR3	P1P2	0.502441779	-0.084823754	5	5
ACTR3B	P1P2	0.278392375	0.044150593	5	5
ACTR3C	P1P2	0.653101365	-0.112545543	5	5
ACTR5	P1P2	0.586265532	-0.135441997	5	5
ACTR6	P1P2	0.014882656	0.605365414	5	5
ACTR8	P1P2	0.022872204	-0.453962317	5	5
ACTRT1	P1P2	0.6465178	-0.131021772	5	5
ACTRT2	P1P2	0.169911275	0.112824853	5	5
ACTRT3	P1P2	0.842138761	0.064714794	5	5
ACVR1	P1P2	0.357075412	-0.082199517	5	5
ACVR1B	P1P2	0.133042306	-0.09880151	5	5
ACVR1C	P1P2	0.481485637	-0.104465899	5	5
ACVR2A	P1P2	0.258263434	0.000887933	5	5
ACVR2B	P1P2	0.025374857	-0.468275241	5	5
ACVRL1	P1P2	0.411552287	-0.122266655	5	5
ACY1	P1P2	0.65070418	0.151705943	5	5
ACY3	P2	0.064943578	-0.219290796	5	5
ACYP1	P2	0.5585463	-0.050391298	5	5
ACYP2	P1P2	0.925466277	-0.155397904	5	5
ADA	P1P2	0.768155954	0.036757567	5	5
ADAD1	P1P2	0.840187869	0.024427313	5	5
ADAD2	P1P2	0.330384153	0.170696645	5	5
ADAL	P1P2	0.987015546	-0.014533164	4	4
ADAM10	P1P2	0.513097924	0.245710128	5	5
ADAM11	P1P2	0.29074151	-0.18571135	5	5
ADAM12	P1P2	0.593725284	0.189789222	5	5
ADAM15	P1P2	0.485118285	-0.075224045	5	5
ADAM17	P1P2	0.844090623	0.022592821	5	5
ADAM18	P1P2	0.785363881	-0.049944282	5	5
ADAM19	P1P2	0.228712367	-0.263951303	5	5
ADAM2	P1P2	0.216107593	0.154617769	5	5
ADAM20	P1P2	0.116903203	0.154560346	5	5
ADAM21	P1P2	0.658508112	0.139904536	5	5
ADAM22	P1P2	0.904356128	0.032315811	5	5
ADAM23	P1P2	0.547972046	-0.159751001	5	5
ADAM28	P1P2	0.689477426	-0.037651895	5	5
ADAM29	P1P2	0.828503524	0.029841815	5	5
ADAM30	P1P2	0.64234258	0.00643861	5	5
ADAM32	P1P2	0.540794489	-0.1323716	5	5
ADAM33	P1P2	0.177004164	-0.167216939	5	5
ADAM7	P1P2	0.791764399	-0.047319677	5	5
ADAM8	P1P2	0.587410354	0.042128966	5	5
ADAM9	P1P2	0.070960297	-0.254681501	5	5
ADAMDEC1	P1P2	0.806538297	-0.110608113	5	5
ADAMTS1	P1	0.686417059	0.043968639	5	5
ADAMTS10	P1P2	0.234224934	0.065400578	5	5
ADAMTS12	P1P2	0.781530493	-0.070669019	5	5
ADAMTS13	P1P2	0.899746755	-0.065531912	5	5
ADAMTS14	P1P2	0.629294355	0.054470804	5	5
ADAMTS15	P1P2	0.074405646	0.254262666	5	5
ADAMTS16	P2	0.472212896	0.078340224	5	5
ADAMTS17	P1P2	0.526581787	0.111078727	5	5
ADAMTS18	P1P2	0.932074686	-0.033837116	5	5
ADAMTS19	P1P2	0.207287238	0.255123688	5	5
ADAMTS2	P1P2	0.495578565	0.106482075	5	5
ADAMTS20	P1P2	0.895140762	0.068967851	5	5
ADAMTS3	P1P2	0.637584709	-0.067833983	5	5
ADAMTS4	P1P2	0.722844226	-0.035890224	5	5
ADAMTS5	P1P2	0.190999748	-0.160706545	5	5
ADAMTS6	P1P2	0.160788344	-0.223308401	5	5
ADAMTS7	P1P2	0.4711887	0.10154549	5	5
ADAMTS8	P1P2	0.347177545	-0.193370163	5	5
ADAMTS9	P1P2	0.449467331	0.075703338	5	5
ADAMTSL1	P1P2	0.453464993	0.05116078	5	5
ADAMTSL2	P1P2	0.328322573	0.605296949	5	5
ADAMTSL3	P1P2	0.907650521	0.041213651	5	5
ADAMTSL4	P1P2	0.219522957	0.076301614	5	5
ADAMTSL5	P1P2	0.727834438	0.109022418	5	5
ADAP1	P1P2	0.982418978	-0.054327372	5	5
ADAP2	P1P2	0.722844226	0.044656581	5	5
ADAR	P2	0.547972046	0.103941087	5	5
ADARB1	P1P2	0.258964483	0.145131702	5	5
ADARB2	ENST00000381312.1	0.067771905	0.269828476	5	5
ADAT1	P1P2	0.303063317	0.221149619	5	5
ADAT2	P1P2	0.545758561	-0.036338007	5	5
ADAT3	P2	0.219210877	0.142086459	5	5
ADC	P1P2	0.37874787	0.367728816	5	5
ADCK1	P1P2	0.496631176	0.067038726	5	5
ADCK2	P1P2	0.061748354	-0.295777179	5	5
ADCK3	P1P2	0.096205435	0.299388752	5	5
ADCK4	P1P2	0.161036658	-0.243016393	5	5
ADCK5	P1P2	0.131972209	0.257173044	5	5
ADCY1	P1P2	0.294172454	0.124205391	5	5
ADCY10	P1P2	0.789842748	-0.025631154	5	5
ADCY2	P1P2	0.725961743	-0.037834138	5	5
ADCY3	P1P2	0.623401068	-0.141337827	5	5
ADCY4	P1P2	0.312529302	0.102606252	5	5
ADCY5	P1P2	0.043354995	-0.478406124	5	5
ADCY6	P1P2	0.775790378	-0.009443725	5	5
ADCY7	P1P2	0.086024022	0.256196941	5	5
ADCY8	P1P2	0.147804714	-0.274512652	5	5
ADCY9	P1P2	0.926126894	0.004476382	5	5
ADCYAP1	P1P2	0.21734509	0.202225596	5	5
ADCYAP1R1	P1P2	0.616523147	0.114486508	4	4
ADD1	P1P2	0.91820298	-0.034083289	5	5
ADD2	P1P2	0.680921363	0.068014319	5	5
ADD3	P1P2	0.114210583	0.227942322	5	5
ADGB	P1P2	0.385540879	-0.303311372	5	5
ADH1A	P1P2	0.945305107	-0.047810687	5	5
ADH1B	P1P2	0.752955069	0.011377555	5	5
ADH1C	P1P2	0.322594637	0.022045084	5	5
ADH4	P1P2	0.735332423	0.089486123	4	4
ADH5	P1P2	0.883313366	0.020516944	5	5
ADH6	P1P2	0.781530493	-0.064505551	5	5
ADH7	P1P2	0.488765725	0.011245798	5	5
ADHFE1	P1P2	0.186523951	0.176866132	5	5
ADI1	P1P2	0.594876783	0.038033761	5	5
ADIG	P1P2	0.752323727	-0.100512476	5	5
ADIPOQ	P1P2	0.995023869	-0.036925194	5	5
ADIPOR1	P1P2	0.560224939	-0.314714409	5	5
ADIPOR2	P1P2	0.39240781	-0.14248763	5	5
ADIRF	P1P2	0.117486628	0.170897084	5	5
ADK	P1	0.35145932	-0.055120279	5	5
ADM	P1P2	0.208187386	-0.159552914	5	5
ADM2	P1P2	0.3506003	0.191427598	5	5
ADM5	P1P2	0.192141436	0.162359601	4	4
ADNP	P1P2	0.071743539	0.231042373	5	5
ADNP2	P1P2	0.556311923	0.115736789	5	5
ADO	P1P2	0.951263941	-0.005821373	5	5
ADORA1	P1P2	0.887909967	-0.032614282	5	5
ADORA2A	P1P2	0.375603169	-0.180864719	5	5
ADORA2B	P1P2	0.112129399	-0.379621377	5	5
ADORA3	P2	0.380100546	-0.172575892	5	5
ADPGK	P1P2	0.058573359	-0.295117906	5	5
ADPRH	P1P2	0.385085709	-0.179663348	5	5
ADPRHL1	P1	0.293025802	0.182859342	5	5
ADPRHL2	P1P2	0.402145176	0.051037175	5	5
ADPRM	P1P2	0.511169697	-0.086844259	4	4
ADRA1A	P1P2	0.70423723	0.086950608	5	5
ADRA1B	P1P2	0.297244882	0.105052773	5	5
ADRA1D	P1P2	0.639961794	0.037615129	5	5
ADRA2A	P1P2	0.314125701	-0.132952716	5	5
ADRA2B	P1P2	0.431727185	-0.209235301	5	5
ADRA2C	P1P2	0.252357631	0.125368154	5	5
ADRB1	P1P2	0.94795312	0.039258366	5	5
ADRB2	P1P2	0.068779115	-0.322911101	5	5
ADRB3	P1P2	0.778340049	-0.044697892	5	5
ADRBK1	P1P2	0.676050468	-0.039017907	5	5
ADRBK2	P1P2	0.379649324	0.164114589	5	5
ADRM1	P1P2	0.084066267	-0.209622947	5	5
ADSL	P1P2	0.719731303	0.029525886	5	5
ADSS	P1P2	0.003212562	-0.539016253	5	5
ADSSL1	P1P2	0.233245349	-0.226022586	5	5
ADTRP	P1P2	0.877409239	0.011351072	5	5
AEBP1	P1P2	0.962526688	0.04269115	5	5
AEBP2	P1P2	0.903038829	-0.000923859	5	5
AEN	P1P2	0.328322573	-0.176365532	5	5
AES	P1P2	0.061864331	0.253485876	5	5
AFAP1	P1P2	0.207802082	0.173784557	4	4
AFAP1L1	P1P2	0.799948022	-0.039600294	4	4
AFAP1L2	P1P2	0.18596997	0.253792369	5	5
AFF1	P1P2	0.478899979	0.113194866	5	5
AFF2	P1P2	0.515243192	-0.167021383	5	5
AFF3	P1P2	0.230001056	-0.087922481	5	5
AFF4	P1P2	0.4711887	-0.062732114	5	5
AFG3L2	P1P2	0.362747695	-0.194708695	5	5
AFM	P1P2	0.879376541	-0.00050515	5	5
AFMID	P1P2	0.328322573	0.113446487	5	5
AFP	P2	0.409188349	-0.17677502	5	5
AFTPH	P1P2	0.895140762	0.033287543	5	5
AGA	P1P2	0.115358524	0.251904937	5	5
AGAP1	P1P2	0.287174537	0.146231519	4	4
AGAP10	ENST00000413193.2	0.976449579	-0.020988025	5	5
AGAP11	P1P2	0.316932283	-0.061789852	5	5
AGAP2	P1P2	0.32873422	0.153205964	5	5
AGAP3	P1P2	0.730333893	-0.064486151	5	5
AGAP9	ENST00000453919.1	0.880688489	-0.020988025	5	5
AGBL1	ENST00000441037.2	0.641747038	-0.161049372	5	5
AGBL2	P1P2	0.238172415	0.171260981	5	5
AGBL3	P1P2	0.147107609	0.268171424	5	5
AGBL4	P1P2	0.889223982	-0.070897361	5	5
AGBL5	P2	0.868893167	-0.003728263	5	5
AGER	P1P2	0.198557876	-0.13211836	4	4
AGFG1	P1P2	0.418692554	-0.048317598	5	5
AGFG2	P1P2	0.542997955	0.119959985	5	5
AGGF1	P1P2	0.760543955	0.182108515	5	5
AGK	P1P2	0.586265532	0.005677969	5	5
AGL	P1P2	0.191847688	-0.175972506	5	5
AGMAT	P1P2	0.200187551	-0.326268421	5	5
AGMO	P1P2	0.301893614	0.047093497	5	5
AGO1	P1P2	0.934719387	-0.037266968	5	5
AGO2	P1P2	0.839537789	0.044432739	5	5
AGO3	P1P2	0.999668256	0.011978947	5	5
AGO4	P1P2	0.080258976	0.407713026	5	5
AGPAT1	P1	0.001544643	-0.62690516	5	5
AGPAT2	P1P2	0.687640593	0.084273992	5	5
AGPAT3	P1P2	0.813628905	0.025278689	5	5
AGPAT4	P1P2	0.285833401	-0.259444115	5	5
AGPAT5	P1P2	0.361433724	-0.106255508	5	5
AGPAT6	P1P2	0.011032693	0.310954487	5	5
AGPAT9	P1P2	0.45647636	-0.20156335	5	5
AGPS	P1P2	0.880688489	0.019086333	5	5
AGR2	P1P2	0.348886256	-0.119763727	5	5
AGR3	P1P2	0.321224493	-0.115959759	3	3
AGRN	P1P2	0.803963798	-0.021959232	5	5
AGRP	P1P2	0.214250244	-0.37014055	4	4
AGT	P1P2	0.259315501	-0.208475431	5	5
AGTPBP1	P1P2	0.725337874	-0.037403944	5	5
AGTR1	P1P2	0.388278795	-0.094162404	5	5
AGTR2	P1P2	0.331211126	-0.267548675	5	5
AGTRAP	P1P2	0.29532211	-0.188785071	5	5
AGXT	P1P2	0.110820658	0.25203851	5	5
AGXT2	P1P2	0.067713545	0.237590139	4	4
AHCTF1	P1P2	0.571477915	-0.046713591	5	5
AHCY	P1P2	0.725961743	0.055271658	5	5
AHCYL1	P1	0.004567763	0.388904878	5	5
AHCYL2	P1P2	0.465069325	-0.260410924	5	5
AHDC1	P1P2	0.058906918	0.34090126	5	5
AHI1	P1P2	0.705472349	-0.064922528	5	5
AHNAK	P1	0.739104407	0.031501425	5	5
AHNAK2	P1	0.393790044	-0.036236193	5	5
AHR	P1P2	0.474778746	-0.065896166	5	5
AHRR	P1P2	0.718487431	0.085525438	5	5
AHSA1	P1P2	0.793046204	0.139193887	5	5
AHSA2	P1P2	0.244181317	0.300017516	5	5
AHSG	P1P2	0.928109049	0.034737761	5	5
AHSP	P1P2	0.484078874	0.283636348	5	5
AICDA	P1P2	0.892510341	0.056949771	5	5
AIDA	P1P2	0.534211021	-0.017222793	5	5
AIF1	P1P2	0.782169026	0.088233852	5	5
AIF1L	P1P2	0.321375754	-0.12388838	5	5
AIFM1	P1P2	0.884626287	0.044568461	5	5
AIFM2	P1P2	0.00825523	-0.300090954	5	5
AIFM3	P1	0.514169977	-0.077936371	5	5
AIG1	P1P2	0.951926208	0.03521542	5	5
AIM1	P1P2	0.080258976	-0.257233621	5	5
AIM1L	P2	0.003946407	-0.421281981	4	4
AIM2	P1P2	0.504032705	0.048602677	5	5
AIMP1	P1P2	0.948615214	0.088251028	5	5
AIMP2	P1P2	0.991706543	-0.103099654	5	5
AIP	P1P2	0.640556644	-0.135605559	5	5
AIPL1	P1P2	0.832394226	0.042702232	5	5
AIRE	P1P2	0.321781714	0.071762067	5	5
AJAP1	P1P2	0.294938557	-0.243156022	5	5
AJUBA	P1P2	0.763078753	-0.031870809	5	5
AK1	P1P2	0.430753665	0.066406633	5	5
AK2	P1P2	0.304627602	-0.148971599	5	5
AK3	P1P2	0.425905209	-0.137851532	5	5
AK4	P1P2	0.600071104	-0.095720589	5	5
AK5	P1P2	0.850603682	0.274909748	5	5
AK7	P1P2	0.816211133	-0.040486112	5	5
AK8	P1P2	0.570347794	0.084168111	5	5
AK9	P1P2	0.570989111	-0.065981888	3	3
AKAP1	P1P2	0.44153227	-0.101045318	5	5
AKAP10	P1P2	0.644130586	0.134563503	5	5
AKAP11	P1P2	0.15443326	0.155105682	5	5
AKAP12	P1	0.212120782	-0.243449258	5	5
AKAP13	P1P2	0.133257129	-0.244237963	5	5
AKAP14	P1P2	0.158321088	0.315127872	5	5
AKAP17A	P1P2	0.045112821	0.227557305	4	4
AKAP2	P1P2	0.498212325	0.131571479	5	5
AKAP3	P1	0.498739969	-0.138916295	5	5
AKAP4	P1P2	0.29685966	-0.145879353	5	5
AKAP5	P1P2	0.838237957	0.082588842	5	5
AKAP6	P1P2	0.229034056	-0.061471451	5	5
AKAP7	P1P2	0.078126963	-0.249545999	5	5
AKAP8	P1P2	0.06903283	0.254746165	5	5
AKAP8L	P1P2	0.803963798	0.04192969	5	5
AKAP9	P1P2	0.750430695	-0.122128645	5	5
AKIP1	P1P2	0.104456951	0.211665536	5	5
AKIRIN1	P1P2	0.401211611	0.115039426	5	5
AKIRIN2	P1P2	0.017730822	0.558444449	5	5
AKNA	P1	0.500324681	-0.069170138	5	5
AKNAD1	ENST00000370001.3	0.696228082	-0.077199552	5	5
AKR1A1	P1P2	0.228390999	0.238225682	5	5
AKR1B1	P1P2	0.818149116	-0.050691317	5	5
AKR1B10	P1P2	0.052629395	0.222094895	5	5
AKR1B15	P1P2	0.564713226	-0.043339421	5	5
AKR1C1	P1P2	0.52380685	-0.083393761	4	4
AKR1C2	P2	0.14641302	0.206495744	5	5
AKR1C3	P1P2	0.879376541	-0.050898228	5	5
AKR1C4	P1P2	0.569783134	-0.086084854	5	5
AKR1D1	P1P2	0.932735792	-0.011817639	5	5
AKR1E2	P1P2	0.433678045	-0.137943077	5	5
AKR7A2	P1P2	0.318140123	0.120334316	5	5
AKR7A3	P1P2	0.289603868	-0.103258718	5	5
AKT1	P1P2	0.009647084	0.772263361	5	5
AKT1S1	P1P2	0.07099346	-0.583372413	4	4
AKT2	P1P2	0.037057008	0.335671141	5	5
AKT3	P1P2	0.363186349	-0.175906448	5	5
AKTIP	P1P2	0.349314267	0.199706119	5	5
ALAD	P1P2	0.868893167	-0.00209872	5	5
ALAS1	P1P2	0.496631176	0.039146669	5	5
ALAS2	P1P2	0.731584698	0.020675708	5	5
